_id,report_date,previous_day_total_doses_administered,previous_day_at_least_one,previous_day_fully_vaccinated,previous_day_3doses,total_doses_administered,total_individuals_at_least_one,total_individuals_partially_vaccinated,total_doses_in_fully_vaccinated_individuals,total_individuals_fully_vaccinated,total_individuals_3doses
1042,2023-11-08T00:00:00,55274,676,289,1117,39979693,12650519,467578,,12182941,7680755
1043,2023-11-09T00:00:00,55673,692,261,1295,40035366,12650947,468007,,12182940,7681824
1044,2023-11-10T00:00:00,53885,804,276,1161,40089251,12651460,468527,,12182933,7682739
1045,2023-11-11T00:00:00,50066,660,254,1268,40139317,12651772,468927,,12182845,7683707
1046,2023-11-12T00:00:00,24859,453,218,1037,40164176,12651952,469161,,12182791,7684504
1047,2023-11-13T00:00:00,11196,195,51,385,40175372,12651873,469303,,12182570,7684644
1048,2023-11-14T00:00:00,40054,488,199,885,40215426,12652068,469589,,12182479,7685278
1049,2023-11-15T00:00:00,45185,591,227,1107,40260611,12652315,469952,,12182363,7686088
1050,2023-11-16T00:00:00,43516,606,271,1158,40304127,12652616,470285,,12182331,7686969
1051,2023-11-17T00:00:00,41664,628,270,1094,40345791,12652923,470639,,12182284,7687785
1052,2023-11-18T00:00:00,39920,674,259,1311,40385711,12653261,471050,,12182211,7688810
1053,2023-11-19T00:00:00,22462,496,203,1102,40408173,12653484,471341,,12182143,7689676
1054,2023-11-20T00:00:00,9110,150,72,338,40417283,12653353,471414,,12181939,7689779
1055,2023-11-21T00:00:00,32616,464,195,829,40449899,12653521,471679,,12181842,7690362
1056,2023-11-22T00:00:00,35610,664,221,1006,40485509,12653886,472119,,12181767,7691101
1057,2023-11-23T00:00:00,34993,526,250,931,40520502,12654124,472386,,12181738,7691780
1058,2023-11-24T00:00:00,32873,515,198,922,40553375,12654376,472693,,12181683,7692486
1059,2023-11-25T00:00:00,31489,508,241,1108,40584864,12654589,472959,,12181630,7693330
1060,2023-11-26T00:00:00,16815,406,181,972,40601679,12654740,473181,,12181559,7694085
1061,2023-11-27T00:00:00,7040,124,47,331,40608719,12654577,473258,,12181319,7694168
1062,2023-11-28T00:00:00,25107,370,131,632,40633826,12654639,473494,,12181145,7694535
1063,2023-11-29T00:00:00,29804,485,197,949,40663630,12654806,473776,,12181030,7695219
1064,2023-11-30T00:00:00,28591,473,196,897,40692221,12654989,474048,,12180941,7695870
1065,2023-12-01T00:00:00,28616,446,198,883,40720837,12655124,474292,,12180832,7696481
1066,2023-12-02T00:00:00,25690,446,209,893,40746527,12655275,474526,,12180749,7697117
1067,2023-12-03T00:00:00,13578,333,172,738,40760105,12655333,474685,,12180648,7697611
1068,2023-12-04T00:00:00,6068,130,56,290,40766173,12655156,474755,,12180401,7697639
1069,2023-12-05T00:00:00,20444,292,130,660,40786617,12655141,474915,,12180226,7698035
1070,2023-12-06T00:00:00,25459,398,177,794,40812076,12655241,475130,,12180111,7698564
1071,2023-12-07T00:00:00,24430,400,199,807,40836506,12655391,475330,,12180061,7699145
1072,2023-12-08T00:00:00,22847,432,192,777,40859353,12655516,475564,,12179952,7699652
1073,2023-12-09T00:00:00,23304,412,234,821,40882657,12655631,475737,,12179894,7700217
1074,2023-12-10T00:00:00,13640,366,189,866,40896297,12655688,475908,,12179780,7700809
1075,2023-12-11T00:00:00,6608,116,51,340,40902905,12655538,475970,,12179568,7700921
1076,2023-12-12T00:00:00,20973,324,163,666,40923878,12655543,476124,,12179419,7701310
1077,2023-12-13T00:00:00,20293,368,168,741,40944171,12655602,476320,,12179282,7701769
1078,2023-12-14T00:00:00,17953,353,161,764,40962124,12655676,476507,,12179169,7702306
1079,2023-12-15T00:00:00,17993,276,154,611,40980117,12655676,476628,,12179048,7702668
1080,2023-12-16T00:00:00,17779,362,174,692,40997896,12655709,476814,,12178895,7703074
1081,2023-12-17T00:00:00,8969,238,142,608,41006865,12655689,476905,,12178784,7703464
1082,2023-12-18T00:00:00,4247,99,45,241,41011112,12655531,476958,,12178573,7703479
1083,2023-12-19T00:00:00,14805,284,121,587,41025917,12655491,477118,,12178373,7703774
1084,2023-12-20T00:00:00,14767,354,153,547,41040684,12655596,477314,,12178282,7704099
1085,2023-12-21T00:00:00,14747,320,127,630,41055431,12655622,477503,,12178119,7704471
1086,2023-12-22T00:00:00,13342,289,120,547,41068773,12655619,477668,,12177951,7704763
1087,2023-12-23T00:00:00,10608,299,117,440,41079381,12655612,477847,,12177765,7704937
1088,2023-12-24T00:00:00,3930,122,48,243,41083311,12655427,477915,,12177512,7704920
1089,2023-12-25T00:00:00,1341,56,10,88,41084652,12655209,477959,,12177250,7704760
1090,2023-12-26T00:00:00,190,15,7,12,41084842,12654952,477964,,12176988,7704539
1091,2023-12-27T00:00:00,1452,50,10,60,41086294,12654737,478001,,12176736,7704370
1092,2023-12-28T00:00:00,6724,191,77,295,41093018,12654623,478113,,12176510,7704402
1093,2023-12-29T00:00:00,7176,202,92,356,41100194,12654512,478221,,12176291,7704484
1094,2023-12-30T00:00:00,6475,219,80,310,41106669,12654421,478359,,12176062,7704530
1095,2023-12-31T00:00:00,2709,119,34,126,41109378,12654228,478440,,12175788,7704389
1096,2024-01-01T00:00:00,1021,39,10,69,41110399,12653996,478462,,12175534,7704237
1097,2024-01-02T00:00:00,425,17,1,18,41110824,12653753,478474,,12175279,7704031
1098,2024-01-03T00:00:00,5738,190,85,280,41116562,12653635,478577,,12175058,7704043
1099,2024-01-04T00:00:00,7465,263,109,358,41124027,12653607,478729,,12174878,7704151
1100,2024-01-05T00:00:00,7936,265,123,382,41131963,12653571,478870,,12174701,7704270
1101,2024-01-06T00:00:00,8471,245,150,425,41140434,12653499,478962,,12174537,7704418
1102,2024-01-07T00:00:00,3974,172,82,217,41144408,12653408,479049,,12174359,7704402
1103,2024-01-08T00:00:00,1697,65,7,109,41146105,12653185,479103,,12174082,7704270
1104,2024-01-09T00:00:00,5620,182,66,202,41151725,12653080,479215,,12173865,7704222
1105,2024-01-10T00:00:00,4580,142,75,188,41156305,12652895,479275,,12173620,7704129
1106,2024-01-11T00:00:00,5024,154,77,203,41161329,12652747,479351,,12173396,7704068
1107,2024-01-12T00:00:00,5114,119,72,210,41166443,12652618,479394,,12173224,7704056
1108,2024-01-13T00:00:00,6079,184,125,268,41172522,12652562,479448,,12173114,7704116
1109,2024-01-14T00:00:00,2411,90,33,175,41174933,12652392,479501,,12172891,7704064
1110,2024-01-15T00:00:00,1349,42,15,72,41176282,12652191,479526,,12172665,7703918
1111,2024-01-16T00:00:00,3979,191,71,160,41180261,12652131,479643,,12172488,7703858
1112,2024-01-17T00:00:00,3738,154,64,191,41183999,12652028,479730,,12172298,7703816
1113,2024-01-18T00:00:00,3853,121,85,179,41187852,12651903,479763,,12172140,7703788
1114,2024-01-19T00:00:00,4023,145,86,179,41191875,12651782,479817,,12171965,7703741
1115,2024-01-20T00:00:00,4296,200,111,193,41196171,12651717,479903,,12171814,7703706
1116,2024-01-21T00:00:00,2025,91,58,100,41198196,12651572,479933,,12171639,7703600
1117,2024-01-22T00:00:00,830,43,16,47,41199026,12651391,479960,,12171431,7703448
1118,2024-01-23T00:00:00,3039,102,48,120,41202065,12651235,480012,,12171223,7703353
1119,2024-01-24T00:00:00,2787,126,50,132,41204852,12651126,480084,,12171042,7703280
1120,2024-01-25T00:00:00,2896,140,91,137,41207748,12650985,480129,,12170856,7703161
1121,2024-01-26T00:00:00,2967,113,52,108,41210715,12650860,480189,,12170671,7703058
1122,2024-01-27T00:00:00,3047,113,93,146,41213762,12650722,480208,,12170514,7702978
1123,2024-01-28T00:00:00,1545,74,47,88,41215307,12650550,480233,,12170317,7702840
1124,2024-01-29T00:00:00,631,26,10,41,41215938,12650321,480245,,12170076,7702650
1125,2024-01-30T00:00:00,2357,93,56,109,41218295,12650153,480280,,12169873,7702543
1126,2024-01-31T00:00:00,2571,106,63,126,41220866,12650017,480323,,12169694,7702449
1127,2024-02-01T00:00:00,2590,111,55,95,41223456,12649856,480371,,12169485,7702302
1128,2024-02-02T00:00:00,2163,83,54,91,41225619,12649692,480397,,12169295,7702169
1129,2024-02-03T00:00:00,2662,102,79,101,41228281,12649554,480419,,12169135,7702051
1130,2024-02-04T00:00:00,1155,66,27,60,41229436,12649430,480455,,12168975,7701940
1131,2024-02-05T00:00:00,614,40,17,27,41230050,12649248,480475,,12168773,7701773
1132,2024-02-06T00:00:00,2045,96,51,83,41232095,12649111,480516,,12168595,7701652
1133,2024-02-07T00:00:00,2025,72,59,79,41234120,12648963,480527,,12168436,7701534
1134,2024-02-08T00:00:00,2001,94,70,106,41236121,12648836,480551,,12168285,7701448
1135,2024-02-09T00:00:00,1998,76,56,90,41238119,12648689,480568,,12168121,7701347
1136,2024-02-10T00:00:00,2151,105,81,90,41240270,12648560,480591,,12167969,7701230
1137,2024-02-11T00:00:00,1016,48,30,38,41241286,12648417,480608,,12167809,7701102
1138,2024-02-12T00:00:00,409,20,6,25,41241695,12648254,480620,,12167634,7700961
1139,2024-02-13T00:00:00,1735,73,36,75,41243430,12648109,480655,,12167454,7700842
1140,2024-02-14T00:00:00,1547,65,45,78,41244977,12647959,480675,,12167284,7700726
1141,2024-02-15T00:00:00,1388,50,54,84,41246365,12647780,480668,,12167112,7700599
1142,2024-02-16T00:00:00,1283,74,38,52,41247648,12647633,480703,,12166930,7700457
1143,2024-02-17T00:00:00,1936,91,52,99,41249584,12647523,480741,,12166782,7700380
1144,2024-02-18T00:00:00,729,50,15,48,41250313,12647370,480773,,12166597,7700247
1145,2024-02-19T00:00:00,355,24,4,23,41250668,12647207,480790,,12166417,7700109
1146,2024-02-20T00:00:00,335,14,4,18,41251003,12647028,480800,,12166228,7699953
1147,2024-02-21T00:00:00,1572,95,45,74,41252575,12646899,480848,,12166051,7699819
1148,2024-02-22T00:00:00,1515,77,43,75,41254090,12646763,480882,,12165881,7699702
1149,2024-02-23T00:00:00,1535,83,46,68,41255625,12646626,480914,,12165712,7699575
1150,2024-02-24T00:00:00,1692,89,56,92,41257317,12646518,480943,,12165575,7699492
1151,2024-02-25T00:00:00,688,32,16,45,41258005,12646381,480959,,12165422,7699393
1152,2024-02-26T00:00:00,391,15,4,38,41258396,12646225,480968,,12165257,7699280
1153,2024-02-27T00:00:00,1388,64,53,64,41259784,12646099,480979,,12165120,7699171
1154,2024-02-28T00:00:00,1188,75,29,62,41260972,12645970,481022,,12164948,7699057
1155,2024-02-29T00:00:00,1181,72,49,70,41262153,12645866,481045,,12164821,7698966
1156,2024-03-01T00:00:00,1125,79,32,64,41263278,12645760,481091,,12164669,7698864
1157,2024-03-02T00:00:00,1459,73,27,66,41264737,12645659,481133,,12164526,7698780
1158,2024-03-03T00:00:00,695,30,13,33,41265432,12645515,481150,,12164365,7698647
1159,2024-03-04T00:00:00,347,15,4,22,41265779,12645366,481158,,12164208,7698532
1160,2024-03-05T00:00:00,1116,54,25,63,41266895,12645261,481184,,12164077,7698454
1161,2024-03-06T00:00:00,1184,56,36,45,41268079,12645151,481204,,12163947,7698358
1162,2024-03-07T00:00:00,1245,45,36,54,41269324,12645034,481212,,12163822,7698266
1163,2024-03-08T00:00:00,1066,62,23,50,41270390,12644947,481250,,12163697,7698185
1164,2024-03-09T00:00:00,1223,74,23,64,41271613,12644858,481298,,12163560,7698107
1165,2024-03-10T00:00:00,675,29,10,36,41272288,12644728,481313,,12163415,7698007
1166,2024-03-11T00:00:00,274,15,4,18,41272562,12644623,481322,,12163301,7697913
1167,2024-03-12T00:00:00,1087,62,36,44,41273649,12644533,481346,,12163187,7697818
1168,2024-03-13T00:00:00,1031,55,16,59,41274680,12644454,481385,,12163069,7697760
1169,2024-03-14T00:00:00,1046,43,32,53,41275726,12644361,481395,,12162966,7697700
1170,2024-03-15T00:00:00,1131,52,20,45,41276857,12644294,481427,,12162867,7697641
1171,2024-03-16T00:00:00,1229,56,31,51,41278086,12644220,481451,,12162769,7697575
1172,2024-03-17T00:00:00,504,22,8,37,41278590,12644136,481464,,12162672,7697517
1173,2024-03-18T00:00:00,204,11,3,19,41278794,12644032,481470,,12162562,7697431
1174,2024-03-19T00:00:00,981,40,22,49,41279775,12643961,481487,,12162474,7697378
1175,2024-03-20T00:00:00,885,43,23,48,41280660,12643903,481506,,12162397,7697336
1176,2024-03-21T00:00:00,932,42,32,38,41281592,12643850,481516,,12162334,7697291
1177,2024-03-22T00:00:00,956,58,26,47,41282548,12643841,481548,,12162293,7697279
1178,2024-03-23T00:00:00,983,46,34,57,41283531,12643804,481558,,12162246,7697262
1179,2024-03-24T00:00:00,426,26,13,21,41283957,12643751,481571,,12162180,7697213
1180,2024-03-25T00:00:00,211,9,3,22,41284168,12643674,481577,,12162097,7697162
1181,2024-03-26T00:00:00,946,67,26,48,41285114,12643681,481616,,12162065,7697160
1182,2024-03-27T00:00:00,766,43,22,44,41285880,12643670,481637,,12162033,7697157
1183,2024-03-28T00:00:00,820,43,27,45,41286700,12643703,481653,,12162050,7697193
1184,2024-03-29T00:00:00,965,53,29,32,41287665,12643753,481677,,12162076,7697222
1185,2024-03-30T00:00:00,183,11,2,13,41287848,12643764,481686,,12162078,7697235
1186,2024-03-31T00:00:00,343,21,10,24,41288191,12643785,481697,,12162088,7697259
1187,2024-04-01T00:00:00,82,4,2,5,41288273,12643789,481699,,12162090,7697264
1188,2024-04-02T00:00:00,635,30,10,29,41288908,12643819,481719,,12162100,7697293
1189,2024-04-03T00:00:00,859,45,18,36,41289767,12643864,481746,,12162118,7697329
